Chris Rea,Driving Home For Xmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,1,40.0,40.0
Cliff Richard,Congratulations,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40.0,40.0
Cliff Richard,Summer Holiday,0,0,25,16,19,0,0,0,0,0,31,0,0,0,31,0,39,0,0,31,11,13,153,9,24.0,11.0
Coldplay,Paradise,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,19.0,19.0
Coldplay,Viva La Vida,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,30.0,30.0
Daft Punk,Get Lucky,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,14,1,27.0,27.0
Daniel O'Donnell,Danny Boy,27,0,7,4,15,13,37,16,37,28,25,19,0,0,0,0,13,0,0,0,25,0,267,13,20.46153846153846,4.0
Daniel O'Donnell,I Just Want To Dance,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,19.0,19.0
David Bowie,Life On Mars,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,1,22.0,22.0
Dean Martin,That's Amore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,9,1,32.0,32.0
Dolly Parton,9 To 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,27,1,14.0,14.0
Dolly Parton,Jolene,0,0,0,0,0,0,0,0,0,0,18,38,0,34,35,35,0,0,0,0,0,0,45,5,32.0,18.0
Eagles,Hotel California,0,0,0,0,0,0,0,0,0,22,20,10,0,22,7,8,0,11,7,38,38,2,266,11,16.818181818181817,2.0
Ed Sheeran,Castle On The Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,28,0,0,0,0,0,0,68,3,18.333333333333332,5.0
Ed Sheeran,Galway Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,9,1,32.0,32.0
Ed Sheeran,Lego House,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,38.0,38.0
Ed Sheeran,Perfect,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,9,0,19,21,13,16,7,208,8,15.0,2.0
Ed Sheeran,Shape Of You,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,27,0,0,0,0,0,0,55,3,22.666666666666668,4.0
Ed Sheeran,Thinking Out Loud,0,0,0,0,0,0,0,0,0,0,0,3,10,8,29,0,0,0,0,0,0,0,114,4,12.5,3.0
